,Company,Type,Country,City,Population,Latitude,Longitude
0,Nike,Mode,Japan,Tokyo,37977000.0,35.7056172,139.5769351
1,Nike,Mode,Indonesia,Jakarta,34540000.0,-6.2656348,106.7830542
2,Nike,Mode,India,Delhi,29617000.0,28.5573461,77.163798
3,Nike,Mode,India,Mumbai,23355000.0,19.1362681,72.8296148
4,Nike,Mode,Philippines,Manila,23088000.0,14.6520224,121.0755371
5,Nike,Mode,China,Shanghai,22120000.0,31.2363921,121.4705843
6,Nike,Mode,Brazil,São Paulo,22046000.0,-23.4755237,-46.5226902
7,Nike,Mode,"Korea, South",Seoul,21794000.0,37.5408416,127.06631628634483
8,Nike,Mode,Mexico,Mexico City,20996000.0,19.438915,-99.2010688
9,Nike,Mode,China,Guangzhou,20902000.0,23.1171657,113.2423971
10,Nike,Mode,China,Beijing,19433000.0,39.7853191,116.3196691
11,Nike,Mode,Egypt,Cairo,19372000.0,30.0587324,31.2214644
12,Nike,Mode,United States,New York,18713220.0,40.6230394,-73.63827
13,Nike,Mode,India,Kolkāta,17560000.0,22.5618943,88.3511411
14,Nike,Mode,Russia,Moscow,17125000.0,55.771065,37.6201165
15,Nike,Mode,Thailand,Bangkok,17066000.0,13.9175416,100.6013761
16,Nike,Mode,Argentina,Buenos Aires,16157000.0,-34.6187238,-58.43791534229638
17,Nike,Mode,China,Shenzhen,15929000.0,22.6259715,114.0198503
18,Nike,Mode,Bangladesh,Dhaka,15443000.0,52.211245,20.9168588
19,Nike,Mode,Nigeria,Lagos,15279000.0,6.4315265,3.481844656830685
20,Nike,Mode,Turkey,Istanbul,15154000.0,41.0143495,28.9675463
21,Nike,Mode,Japan,Ōsaka,14977000.0,34.672071,135.5006127
22,Nike,Mode,Pakistan,Karachi,14835000.0,24.8139919,67.0277322
23,Nike,Mode,India,Bangalore,13707000.0,13.0293655,77.570961
24,Nike,Mode,Iran,Tehran,13633000.0,52.211245,20.9168588
25,Nike,Mode,Vietnam,Ho Chi Minh City,13312000.0,10.7699376,106.6913455
26,Nike,Mode,United States,Los Angeles,12750807.0,34.1459389,-118.1513107
27,Nike,Mode,Brazil,Rio de Janeiro,12272000.0,-22.5195529,-44.0038759
28,Nike,Mode,China,Baoding,11860000.0,38.8668576,115.4919648
29,Nike,Mode,India,Chennai,11324000.0,52.211245,20.9168588
30,Nike,Mode,China,Chengdu,11309000.0,30.6550104,104.0814439
31,Nike,Mode,Pakistan,Lahore,11021000.0,52.211245,20.9168588
32,Nike,Mode,France,Paris,11020000.0,48.86126265,2.347509766277338
33,Nike,Mode,United Kingdom,London,10979000.0,51.5077603,-0.2205688
34,Nike,Mode,China,Tianjin,10800000.0,39.1609814,117.3930522
35,Nike,Mode,Peru,Lima,9848000.0,-12.0857538,-76.9775134
36,Nike,Mode,India,Hyderābād,9746000.0,17.4340349,78.4038158
37,Nike,Mode,Colombia,Bogotá,9464000.0,4.69747865,-74.044970068726
38,Nike,Mode,China,Weifang,9373000.0,36.7099294,119.1060122
39,Nike,Mode,Japan,Nagoya,9113000.0,35.1680638,136.9073265
40,Nike,Mode,China,Wuhan,8962000.0,30.5085295,114.2019372
41,Nike,Mode,China,Heze,8750000.0,34.7904419,116.0789592
42,Nike,Mode,United States,Chicago,8604203.0,41.9116924,-87.677657
43,Nike,Mode,Angola,Luanda,8417000.0,-8.811142449999998,13.256051153629706
44,Nike,Mode,Malaysia,Kuala Lumpur,8285000.0,52.211245,20.9168588
45,Nike,Mode,China,Dongguan,7981000.0,38.8668576,115.4919648
46,Nike,Mode,China,Jinan,7967400.0,36.6538475,116.9679758
47,Nike,Mode,Vietnam,Hanoi,7785000.0,21.00241975,105.81576440366882
48,Nike,Mode,India,Pune,7764000.0,52.211245,20.9168588
49,Nike,Mode,China,Chongqing,7739000.0,43.8891926,125.314691
50,Nike,Mode,China,Changchun,7674439.0,43.8891926,125.314691
51,Nike,Mode,China,Ningbo,7639000.0,29.8283607,121.5431917
52,Nike,Mode,China,Nanjing,7496000.0,31.2363921,121.4705843
53,Nike,Mode,India,Ahmedabad,7410000.0,52.211245,20.9168588
54,Nike,Mode,Hong Kong,Hong Kong,7347000.0,22.3172438,114.1714628
55,Nike,Mode,China,Nanning,7153300.0,22.816278,108.3303719
56,Nike,Mode,China,Xi’an,7135000.0,34.820575149999996,135.75757356926567
57,Nike,Mode,China,Tangshan,7100000.0,40.1399406,118.305451
58,Nike,Mode,Chile,Santiago,7007000.0,-33.4515164,-70.6782968
59,Nike,Mode,China,Hangzhou,6446000.0,30.3114844,120.3314216
60,Nike,Mode,United States,Miami,6445545.0,25.7906437,-80.1396932
61,Nike,Mode,China,Maoming,6313200.0,21.6675782,110.9461205
62,Nike,Mode,China,Kunming,6250000.0,25.0399253,102.709263
63,Nike,Mode,China,Zunyi,6127009.0,31.2099192,121.40301
64,Nike,Mode,Spain,Madrid,6026000.0,40.4220475,-3.6978504
65,Nike,Mode,India,Sūrat,5807000.0,52.211245,20.9168588
66,Nike,Mode,China,Qingdao,5775000.0,36.066283,120.3725758
67,Nike,Mode,Singapore,Singapore,5745000.0,1.2647687,103.8214819
68,Nike,Mode,United States,Dallas,5743938.0,32.867604,-96.7730404
69,Nike,Mode,Kenya,Nairobi,5545000.0,-1.2978304,36.7629406
70,Nike,Mode,China,Tai’an,5499000.0,34.27812755,135.2960125
71,Nike,Mode,United States,Atlanta,5449398.0,33.848158,-84.363032
72,Nike,Mode,Canada,Toronto,5429524.0,43.7778261,-79.3450284
73,Nike,Mode,United States,Washington,5379184.0,38.915451,-76.984954
74,Nike,Mode,China,Jinhua,5361572.0,29.3284163,120.10284
75,Nike,Mode,Russia,Saint Petersburg,5351935.0,60.059086,30.33502
76,Nike,Mode,Mexico,Guadalajara,5253000.0,20.6903757,-103.3735164
77,Nike,Mode,China,Fuzhou,5245000.0,26.0833816,119.2961525
78,Nike,Mode,China,Pudong,5187200.0,31.2293263,121.5230249
79,Nike,Mode,Australia,Melbourne,5078193.0,-37.812097,144.9639793
80,Nike,Mode,Indonesia,Surabaya,4975000.0,52.211245,20.9168588
81,Nike,Mode,China,Ji’an,4956600.0,43.4901637,-1.4938429
82,Nike,Mode,Egypt,Alexandria,4870000.0,44.7355627,8.838112
83,Nike,Mode,China,Guilin,4747963.0,25.2761606,110.2928174
84,Nike,Mode,United States,Boston,4688346.0,42.3500539,-71.0801529
85,Nike,Mode,China,Changzhou,4592431.0,31.7304326,119.9371768
86,Nike,Mode,Spain,Barcelona,4588000.0,41.3839594,2.1717601
87,Nike,Mode,China,Wuxi,4580000.0,31.5141444,120.2772251
